importcheck: importrichting klopt met docs/archief/indeling.md
ok  	github.com/xinix00/HopOS/metal/v2/abi/ring	0.289s
ok  	github.com/xinix00/HopOS/metal/v2/net/hopswitch	1.051s
ok  	github.com/xinix00/HopOS/metal/v2/kern/stage2	0.621s
ok  	github.com/xinix00/HopOS/metal/v2/abi/layout	0.321s
?   	github.com/xinix00/HopOS/metal/v2/abi/hopabi	[no test files]
ok  	github.com/xinix00/HopOS/metal/v2/abi/systemapi	1.144s
?   	github.com/xinix00/HopOS/metal/v2/abi/checksum	[no test files]
ok  	github.com/xinix00/HopOS/metal/v2/fw/fdt	1.903s
ok  	github.com/xinix00/HopOS/metal/v2/fw/adt	1.684s
ok  	github.com/xinix00/HopOS/metal/v2/fw/xnuboot	2.201s
ok  	github.com/xinix00/HopOS/metal/v2/fw/acpi	1.362s
ok  	github.com/xinix00/HopOS/metal/v2/fw/bootcfg	2.406s
ok  	github.com/xinix00/HopOS/metal/v2/kern/hopfs	2.704s
ok  	github.com/xinix00/HopOS/metal/v2/driver/vcmail	3.413s
ok  	github.com/xinix00/HopOS/metal/v2/driver/nic/mdio	3.266s
ok  	github.com/xinix00/HopOS/metal/v2/kern/slots	4.328s
ok  	github.com/xinix00/HopOS/metal/v2/kern/kernflip	3.534s
?   	github.com/xinix00/HopOS/metal/v2/gui/fbgrant	[no test files]
ok  	github.com/xinix00/HopOS/metal/v2/gui/driver/usb/hid	3.684s
ok  	github.com/xinix00/HopOS/metal/v2/kern/cage	3.664s
ok  	github.com/xinix00/HopOS/metal/v2/driver/nic/dwmac	3.451s
ok  	github.com/xinix00/HopOS/metal/v2/driver/nic/dwmac4	3.665s
ok  	github.com/xinix00/HopOS/metal/v2/cmd/hopos/cfgblob	3.665s
ok  	github.com/xinix00/HopOS/metal/v2/driver/conlog	3.671s
?   	github.com/xinix00/HopOS/metal/v2/kern/cagestub	[no test files]
ok  	github.com/xinix00/HopOS/metal/v2/net/nodemac	3.680s
ok  	github.com/xinix00/HopOS/metal/v2/kern/conport	3.769s
ok  	command-line-arguments	0.335s
ok  	command-line-arguments	0.266s
OK: host-tests groen, tamago-gate (arm64: virt/rpi4/rpi5/uefi kaal + gui-smaken + embed-mains incl. rk3566 + probeuefi + proberk3566 + rk3566-agent kaal én gui + apple probe/agent/embed; riscv64: cmd/hopos kaal én embedcfg/embedcagestub + slot-demo + slot-app + switchtest) gebouwd
